item,sentence,verb,event,gesturer
13-ip-IN-s.mp4,Someone adds detergent to laundry,add,bread-spin-IN,ip
44-ip-TR-s.mp4,A woman adds a pinch of something to a shotglass.,add,pop-balloon-TR,ip
50-ip-TR-s.mp4,Person adding something to a meal,add,put-book-on-side-TR,ip
59-ip-TR-s.mp4,A person is adding spices.,add,spray-shaving-cream-TR,ip
10-ho-TR-s.mp4,A person is adding salt.,add,bounce-ball-TR,ho
29-ho-TR-s.mp4,A woman adds things to a tumbler and shakes them.,"add,shake",hit-bottle-with-ball-TR,ho
1-ip-TR-s.mp4,Adjusting a picture frame.,adjust,adjust-picture-TR,ip
1-ho-TR-s.mp4,Picture frame being adjusted.,adjust,adjust-picture-TR,ho
27-rvn-IN-s.mp4,Adjusting a picture frame.,adjust,hanger-swing-IN,rv
42-np-IN-s.mp4,Adjusting a picture frame.,adjust,picture-shift-IN,np
1-np-TR-s.mp4,Adjusting a picture frame.,adjust,adjust-picture-TR,np
42-cs-IN-s.mp4,Adjusting a picture frame.,adjust,picture-shift-IN,cs
1-ho-TR-s.mp4,A picture frame's position is adjusted on the wall by someone,adjust,adjust-picture-TR,ho
1-cs-TR-s.mp4,A woman is adjusting a mirror on the wall.,adjust,adjust-picture-TR,cs
72-ho-IN-s.mp4,A woman is adjusting the shower head to change the water stream.,adjust,whirly-gig-drop-IN,ho
72-ho-IN-s.mp4,A person is adjusting a shower head.,adjust,whirly-gig-drop-IN,ho
64-np-TR-s.mp4,A person is adjusting a belt.,adjust,taughten-string-TR,np
1-ho-TR-s.mp4,She was adjusting the picture.,adjust,adjust-picture-TR,ho
1-rvn-TR-s.mp4,He was adjusting the item.,adjust,adjust-picture-TR,rv
1-cs-TR-s.mp4,She is adjusting the painting.,adjust,adjust-picture-TR,cs
27-rvn-IN-s.mp4,He is adjusting the painting.,adjust,hanger-swing-IN,rv
42-cs-IN-s.mp4,She is adjusting the picture.,adjust,picture-shift-IN,cs
1-ip-TR-s.mp4,A person adjusts the balance of a hanging picture.,adjust,adjust-picture-TR,ip
42-ho-IN-s.mp4,A person adjusts the focus on a camera.,adjust,picture-shift-IN,ho
42-cs-IN-s.mp4,A person adjusts a hanging picture.,adjust,picture-shift-IN,cs
70-cm-TR-s.mp4,A person adjusts a rearview mirror.,adjust,turn-fan-TR,cm
1-rvn-TR-s.mp4,A person adjusts a picture frame.,adjust,adjust-picture-TR,rv
1-ip-TR-s.mp4,A person is adjusting an object.,adjust,adjust-picture-TR,ip
1-ho-TR-s.mp4,A person is adjusting something on the wall.,adjust,adjust-picture-TR,ho
1-cs-TR-s.mp4,A person is adjusting an item on the wall.,adjust,adjust-picture-TR,cs
27-rvn-IN-s.mp4,A person is adjusting a photo on the wall.,adjust,hanger-swing-IN,rv
70-ho-TR-s.mp4,An object's position is being adjusted,adjust,turn-fan-TR,ho
42-cs-IN-s.mp4,An object on a wall is being adjusted,adjust,picture-shift-IN,cs
1-ip-TR-s.mp4,A person adjusts a picture frame.,adjust,adjust-picture-TR,ip
1-ho-TR-s.mp4,A frame is adjusted.,adjust,adjust-picture-TR,ho
42-rvn-IN-s.mp4,A person is adjusting a picture frame.,adjust,picture-shift-IN,rv
1-rvn-TR-s.mp4,A person adjusts a picture.,adjust,adjust-picture-TR,rv
1-cs-TR-s.mp4,A picture frame is being adjusted.,adjust,adjust-picture-TR,cs
27-rvn-IN-s.mp4,A person adjusts a picture frame.,adjust,hanger-swing-IN,rv
1-np-TR-s.mp4,A person adjusts a picture.,adjust,adjust-picture-TR,np
1-ip-TR-s.mp4,A woman adjusts a mirror.,adjust,adjust-picture-TR,ip
42-np-IN-s.mp4,A person is adjusting a picture frame.,adjust,picture-shift-IN,np
42-cs-IN-s.mp4,Adjusting a picture on a wall.,adjust,picture-shift-IN,cs
27-rvn-IN-s.mp4,Adjusting a painting on a wall.,adjust,hanger-swing-IN,rv
70-cs-TR-s.mp4,Adjusting a hat on a head.,adjust,turn-fan-TR,cs
1-cs-TR-s.mp4,She is trying to adjust the old style antenna trying to get better tv reception.,"adjust,get",adjust-picture-TR,cs
1-ip-TR-s.mp4,A woman is adjusting a painting to see if she likes it on that wall.,"adjust,like",adjust-picture-TR,ip
42-cs-IN-s.mp4,A person is adjusting a knickknack to see how it looks that way.,"adjust,see,look",picture-shift-IN,cs
41-ho-IN-s.mp4,She is showing the hand of a large clock slowly advancing.,advance,person-bend-over-IN,ho
24-ip-IN-s.mp4,A cowboy aims his gun,aim,fan-turn-IN,ip
22-np-IN-s.mp4,A person airs out a curved object.,air,door-microwave-close-IN,np
63-cs-IN-s.mp4,An object is allowed to fall to the side.,"allow,fall",tape-measurer-bend-half-IN,cs
42-ip-IN-s.mp4,A person allows others to pass.,"allow,pass",picture-shift-IN,ip
8-ho-IN-s.mp4,A flat covering angles downward and closes on top of a flat surface.,"angle,close",book-fall-over-IN,ho
67-cs-IN-s.mp4,A monster appears,appear,toy-appear-in-box-IN,cs
72-np-IN-s.mp4,A sudden rainshower appears.,appear,whirly-gig-drop-IN,np
67-ip-IN-s.mp4,An object is appearing behind another object.,appear,toy-appear-in-box-IN,ip
67-cs-IN-s.mp4,A person appears from behind a wall and waves hello.,"appear,wave",toy-appear-in-box-IN,cs
70-ip-TR-s.mp4,A person applies perfume.,apply,turn-fan-TR,ip
14-rvn-TR-s.mp4,The person is applying the brakes on a motrocycle.,apply,break-stick-TR,rv
23-np-TR-s.mp4,A person is applying lotion.,apply,drop-ball-TR,np
18-np-IN-s.mp4,Someone approaches a building,approach,coatrack-approach-IN,np
2-np-IN-s.mp4,An animal approaches a wall.,approach,approach-coatrack-IN,np
59-cs-TR-s.mp4,An insect approaches a wall,approach,spray-shaving-cream-TR,cs
18-cs-IN-s.mp4,the person said to approach slowly.,approach,coatrack-approach-IN,cs
18-cs-IN-s.mp4,A person is approaching someone.,approach,coatrack-approach-IN,cs
16-ip-IN-s.mp4,Birds are approaching food on the ground.,approach,cards-scatter-IN,ip
2-np-IN-s.mp4,A dog is approaching his owner.,approach,approach-coatrack-IN,np
2-np-IN-s.mp4,An animal approaches a wall.,approach,approach-coatrack-IN,np
