item,filename,sentence,verb,transitivity
adjust-picture-TR,adjust-picture-TR.mp4,The man wiggles the wall hanging,['wiggle'],1
adjust-picture-TR,adjust-picture-TR.mp4,The man turned the painting back and forth.,['turn'],1
adjust-picture-TR,adjust-picture-TR.mp4,The man turns the poster.,['turn'],1
adjust-picture-TR,adjust-picture-TR.mp4,A man turned a picture.,['turn'],1
adjust-picture-TR,adjust-picture-TR.mp4,The man turned the picture.,['turn'],1
adjust-picture-TR,adjust-picture-TR.mp4,jack tilted a picture on an easel a few times.,['tilt'],1
adjust-picture-TR,adjust-picture-TR.mp4,The man tilted the painting back and forth.,['tilt'],1
adjust-picture-TR,adjust-picture-TR.mp4,Jack tilts the painting back and forth.,['tilt'],1
adjust-picture-TR,adjust-picture-TR.mp4,The man is tilting a painting.,['tilt'],1
adjust-picture-TR,adjust-picture-TR.mp4,The man swings the poster.,['swing'],1
adjust-picture-TR,adjust-picture-TR.mp4,Jack straightens a painting.,['straighten'],1
adjust-picture-TR,adjust-picture-TR.mp4,The man straightens a painting,['straighten'],1
adjust-picture-TR,adjust-picture-TR.mp4,The man straightened the picture,['straighten'],1
adjust-picture-TR,adjust-picture-TR.mp4,the man showing a painting,['show'],1
adjust-picture-TR,adjust-picture-TR.mp4,The man shifted the picture.,['shift'],1
adjust-picture-TR,adjust-picture-TR.mp4,The man rotated the painting back and forth,['rotate'],1
adjust-picture-TR,adjust-picture-TR.mp4,the man rotated the painting,['rotate'],1
adjust-picture-TR,adjust-picture-TR.mp4,A man rotates a painting.,['rotate'],1
adjust-picture-TR,adjust-picture-TR.mp4,The man rotated the painting.,['rotate'],1
adjust-picture-TR,adjust-picture-TR.mp4,The man rotates the painting.,['rotate'],1
adjust-picture-TR,adjust-picture-TR.mp4,the man moved a painting back and forth.,['move'],1
adjust-picture-TR,adjust-picture-TR.mp4,The man moved the painting back and forth.,['move'],1
adjust-picture-TR,adjust-picture-TR.mp4,"The man moves the painting back and forth,",['move'],1
adjust-picture-TR,adjust-picture-TR.mp4,Jack moved the picture around as he looked at it.,"['move', 'look']",1
adjust-picture-TR,adjust-picture-TR.mp4,The man moves a painting left and right.,"['move', 'leave']",1
adjust-picture-TR,adjust-picture-TR.mp4,The man kept moving the portrait.,"['keep', 'move']",1
adjust-picture-TR,adjust-picture-TR.mp4,the boy adjusted position of  colorful painting,['adjust'],1
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,Jack wheeled around in a chair.,['wheel'],0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,A man in a rolling chair moves forward without using his arms or moving his body.,"['use', 'move']",0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,he slid into view of camera,['slide'],0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,A man slides across the room on a chair.,['slide'],0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,The man slides forward in his chair.,['slide'],0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,man was sliding forward with the chair,['slide'],0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,the mans chair rolled him forward,['roll'],1
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,Jack rolls to the coat rack.,['roll'],0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,The man rolled to the left in his chair.,['roll'],0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,Man rolls across the screen on office chair,['roll'],0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,The man rolled the chair.,['roll'],1
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,The chair is rolling to the left.,['roll'],0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,The man is rolling towards the left while sitting in his chair.,['roll'],0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,The man rolled toward the coat rack.,['roll'],0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,The man was rolling across the floor.,['roll'],0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,The man rolled in a chair.,['roll'],0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,The man rolled in his chair.,['roll'],0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,The man rolled his chair to the coat rack.,['roll'],1
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,The man's chair with the man in it rolled toward the red coat rack.,['roll'],0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,The man moved forward in his chair,['move'],0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,The chair with the man in it moved towards the coat rack,['move'],0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,Jacks chair movesd forward.,['move'],0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,The man moved in his chair.,['move'],0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,The man moved forward.,['move'],0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,The man sat in the chair as it moved.,['move'],0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,Jack was moved by his chair,['move'],1
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,The man moved his chair across the room.,['move'],1
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,The man moved left in his chair.,"['move', 'leave']",0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,The man glides on the wheels of the chair.,['glide'],0
approach-coatrack-IN,appraoch-coat-hanger-TR.mp4,The man approaches the rack,['approach'],1
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,The man sits next to a bouncing ball.,['sit'],
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,A ball fell in front of the man.,['fall'],0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,Red ball falls from above and bounces on table in front of man.,"['fall', 'bounce']",0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,The orange ball drops into a bounce on the table.,['drop'],0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,The ball dropped.,['drop'],0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,A ball is dropped on a table.,['drop'],1
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,A ball dropped on the table.,['drop'],0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,The ball drops.,['drop'],0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,A ball is dropped onto a table in front of the man from above.,['drop'],1
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,a ball was dropped on the table and it bounced,"['drop', 'bounce']",1
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,The orange ball was dropped from above the man's head and bounced in front of him on the table.,"['drop', 'bounce']",1
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,a ball bounced,['bounce'],0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,the ball bounced up and won in front of the man,['bounce'],0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,The ball bounces.,['bounce'],0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,The ball bounced in front of Jack.,['bounce'],0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,The ball bounced.,['bounce'],0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,An orange ball bounced on the table.,['bounce'],0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,The ball bounced on the table.,['bounce'],0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,the ball bounced on table,['bounce'],0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,The ball is bouncing on the table.,['bounce'],0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,The ball is bouncing.,['bounce'],0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,The orange ball bounced.,['bounce'],0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,A ball bounces on the table.,['bounce'],0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,A ball bounced in front of the man.,['bounce'],0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,The ball bounced,['bounce'],0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,The ball bounced.,['bounce'],0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,The ball is bouncing.,['bounce'],0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,The ball bounced on the table.,['bounce'],0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,ball was bouncing on the table,['bounce'],0
ball-bounce-IN,ball-bounce-CLIP-FIRST-SECOND-IN.mp4,The ball bounced in front of the man while he did not move or respond.,"['bounce', 'move', 'respond']",0
ball-drop-IN,ball-drop-no-bounce-IN.mp4,A green ball drops in front of the man,['drop'],0
ball-drop-IN,ball-drop-no-bounce-IN.mp4,The ball was thrown on the table.,['throw'],1
ball-drop-IN,ball-drop-no-bounce-IN.mp4,a green object was thrown by the seated boy,['throw'],1
ball-drop-IN,ball-drop-no-bounce-IN.mp4,something green landed on the table.,['land'],0
ball-drop-IN,ball-drop-no-bounce-IN.mp4,The green ball landed on the table in front of Jack.,['land'],0
ball-drop-IN,ball-drop-no-bounce-IN.mp4,The green object falls in front of the man,['fall'],0
ball-drop-IN,ball-drop-no-bounce-IN.mp4,The green object fell on the manilla folder.,['fall'],0
ball-drop-IN,ball-drop-no-bounce-IN.mp4,The object falls from the sky.,['fall'],0
ball-drop-IN,ball-drop-no-bounce-IN.mp4,AN object fell down.,['fall'],0
ball-drop-IN,ball-drop-no-bounce-IN.mp4,A green object falls on the table.,['fall'],0
