item,item_transitivity,gesturer,subject,sentence,verb,sentence_transitivity
bread-spin-IN,0,ip,12,Someone adds detergent to laundry,add,1.0
pop-balloon-TR,1,ip,71,A woman adds a pinch of something to a shotglass.,add,1.0
put-book-on-side-TR,1,ip,23,Person adding something to a meal,add,1.0
spray-shaving-cream-TR,1,ip,91,A person is adding spices.,add,1.0
bounce-ball-TR,1,ho,91,A person is adding salt.,add,1.0
hit-bottle-with-ball-TR,1,ho,71,A woman adds things to a tumbler and shakes them.,"add,shake",1.0
adjust-picture-TR,1,ip,26,Adjusting a picture frame.,adjust,1.0
adjust-picture-TR,1,ho,26,Picture frame being adjusted.,adjust,1.0
hanger-swing-IN,0,rv,26,Adjusting a picture frame.,adjust,1.0
picture-shift-IN,0,np,26,Adjusting a picture frame.,adjust,1.0
adjust-picture-TR,1,np,26,Adjusting a picture frame.,adjust,1.0
picture-shift-IN,0,cs,26,Adjusting a picture frame.,adjust,1.0
adjust-picture-TR,1,ho,12,A picture frame's position is adjusted on the wall by someone,adjust,1.0
adjust-picture-TR,1,cs,16,A woman is adjusting a mirror on the wall.,adjust,1.0
whirly-gig-drop-IN,0,ho,16,A woman is adjusting the shower head to change the water stream.,adjust,1.0
whirly-gig-drop-IN,0,ho,8,A person is adjusting a shower head.,adjust,1.0
taughten-string-TR,1,np,8,A person is adjusting a belt.,adjust,1.0
adjust-picture-TR,1,ho,4,She was adjusting the picture.,adjust,1.0
adjust-picture-TR,1,rv,4,He was adjusting the item.,adjust,1.0
adjust-picture-TR,1,cs,4,She is adjusting the painting.,adjust,1.0
hanger-swing-IN,0,rv,4,He is adjusting the painting.,adjust,1.0
picture-shift-IN,0,cs,4,She is adjusting the picture.,adjust,1.0
adjust-picture-TR,1,ip,70,A person adjusts the balance of a hanging picture.,adjust,1.0
picture-shift-IN,0,ho,70,A person adjusts the focus on a camera.,adjust,1.0
picture-shift-IN,0,cs,70,A person adjusts a hanging picture.,adjust,1.0
turn-fan-TR,1,cm,67,A person adjusts a rearview mirror.,adjust,1.0
adjust-picture-TR,1,rv,67,A person adjusts a picture frame.,adjust,1.0
adjust-picture-TR,1,ip,44,A person is adjusting an object.,adjust,1.0
adjust-picture-TR,1,ho,44,A person is adjusting something on the wall.,adjust,1.0
adjust-picture-TR,1,cs,44,A person is adjusting an item on the wall.,adjust,1.0
hanger-swing-IN,0,rv,44,A person is adjusting a photo on the wall.,adjust,1.0
turn-fan-TR,1,ho,36,An object's position is being adjusted,adjust,1.0
picture-shift-IN,0,cs,36,An object on a wall is being adjusted,adjust,1.0
adjust-picture-TR,1,ip,42,A person adjusts a picture frame.,adjust,1.0
adjust-picture-TR,1,ho,42,A frame is adjusted.,adjust,1.0
picture-shift-IN,0,rv,42,A person is adjusting a picture frame.,adjust,1.0
adjust-picture-TR,1,rv,42,A person adjusts a picture.,adjust,1.0
adjust-picture-TR,1,cs,42,A picture frame is being adjusted.,adjust,1.0
hanger-swing-IN,0,rv,42,A person adjusts a picture frame.,adjust,1.0
adjust-picture-TR,1,np,42,A person adjusts a picture.,adjust,1.0
adjust-picture-TR,1,ip,71,A woman adjusts a mirror.,adjust,1.0
picture-shift-IN,0,np,28,A person is adjusting a picture frame.,adjust,1.0
